filename;final_bounding_area;runtime
MBLA_0;300;12
MBLA_1;294;13
MBLA_2;221;9
MBLA_3;192;8
MBLA_4;525;21
MBLA_5;300;11
MBLA_6;187;7
MBLA_7;270;11
MBLA_8;192;6
MBLA_9;325;11
MBLA_10;160;6
MBLA_11;350;14
MBLA_12;209;11
MBLA_13;280;9
MBLA_14;255;10
MBLA_15;414;14
MBLA_16;414;15
MBLA_17;550;19
MBLA_18;176;5
MBLA_19;209;7
MBLA_20;396;21
MBLA_21;462;27
MBLA_22;238;10
MBLA_23;357;12
MBLA_24;276;10
MBLA_25;255;8
MBLA_26;176;9
MBLA_27;208;8
MBLA_28;165;7
MBLA_29;306;12
MBLA_30;195;6
MBLA_31;418;14
MBLA_32;456;22
MBLA_33;342;18
MBLA_34;378;16
MBLA_35;190;10
MBLA_36;418;20
MBLA_37;204;9
MBLA_38;234;11
MBLA_39;420;22
MBLA_40;195;11
MBLA_41;224;13
MBLA_42;120;18
MBLA_43;322;19
MBLA_44;180;9
MBLA_45;280;12
MBLA_46;200;11
MBLA_47;299;11
MBLA_48;224;9
MBLA_49;420;17
MBLA_50;399;18
MBLA_51;440;18
MBLA_52;368;13
MBLA_53;170;8
MBLA_54;231;9
MBLA_55;204;8
MBLA_56;162;7
MBLA_57;475;20
MBLA_58;242;8
MBLA_59;224;10
